"Player","Position","Team","Sleeper","ESPN","Yahoo!","CBS","Fantrax","FFPC","BB10s","NFFC","Underdog","Consensus"
"Tyler McCloskey","RB","","671.5","","","","","","","","","671.5"
"Jacob De Jesus","WR","KC","671.9","","","","","","","","","671.9"
"Jamie Newman","QB","","673.0","","","","","","","","","673.0"
"Abram Smith","RB","","673.5","","","","","","","","","673.5"
"Wayne Gallman","RB","","673.5","","","","","","","","","673.5"
"Austin Reed","QB","BAL","674.0","","","","","","","","","674.0"
"Brandon Shippen","WR","","674.5","","","","","","","","","674.5"
"Marcus Peterson","WR","","675.2","","","","","","","","","675.2"
"Demario Richard","RB","","676.0","","","","","","","","","676.0"
"Stone Eby","TE","","676.0","","","","","","","","","676.0"
"Ja'seem Reed","WR","CAR","676.8","","","","","","","","","676.8"
"Connor Slomka","RB","","677.0","","","","","","","","","677.0"
"Jacob Clark","QB","LV","677.0","","","","","","","","","677.0"
"Alec Holler","TE","","677.0","","","","","","","","","677.0"
"Jackson Harris","TE","","677.3","","","","","","","","","677.3"
"Kyle Markway","TE","","678.0","","","","","","","","","678.0"
"Bobo Wilson","WR","","678.0","","","","","","","","","678.0"
"Todd Gurley","RB","","678.1","","","","","","","","","678.1"
"Jamal Pettigrew","TE","","678.8","","","","","","","","","678.8"
"Chris Brown","WR","","679.0","","","","","","","","","679.0"
"Case Cookus","QB","","679.3","","","","","","","","","679.3"
"Tommy Stevens","TE","NYG","679.5","","","","","","","","","679.5"
"Ross Scheuerman","RB","","680.0","","","","","","","","","680.0"
"Jerome Lane","WR","","681.0","","","","","","","","","681.0"
"Zakhari Franklin","WR","","681.3","","","","","","","","","681.3"
"Zion Bowens","WR","","681.5","","","","","","","","","681.5"
"Sandro Platzgummer","RB","","681.9","","","","","","","","","681.9"
"Romello Brooker","TE","","682.0","","","","","","","","","682.0"
"Terry Swanson","RB","","682.0","","","","","","","","","682.0"
"Ryan Fitzpatrick","QB","","682.4","","","","","","","","","682.4"
"Landen Akers","WR","","683.0","","","","","","","","","683.0"
"Tayvion Robinson","WR","","683.0","","","","","","","","","683.0"
"Josh Imatorbhebhe","WR","","683.1","","","","","","","","","683.1"
"Tre Harbison","RB","","684.0","","","","","","","","","684.0"
"Sam Cotton","TE","","684.0","","","","","","","","","684.0"
"Josh Gordon","WR","","684.0","","","","","","","","","684.0"
"Jamarius Way","WR","","684.7","","","","","","","","","684.7"
"Kekoa Crawford","WR","","687.0","","","","","","","","","687.0"
"T.J. Simmons","WR","","687.2","","","","","","","","","687.2"
"Mathew Sexton","WR","","687.5","","","","","","","","","687.5"
"Austin Wolf","WR","","687.5","","","","","","","","","687.5"
"Deon Cain","WR","","687.5","","","","","","","","","687.5"
"Jalen Wayne","WR","","687.5","","","","","","","","","687.5"
"Mike Thomas","WR","","688.3","","","","","","","","","688.3"
"Steve Stilianos","TE","","688.5","","","","","","","","","688.5"
"Broc Rutter","QB","","689.5","","","","","","","","","689.5"
"T.J. Linta","QB","","689.5","","","","","","","","","689.5"
"Sone Ntoh","RB","","689.8","","","","","","","","","689.8"
"Mark Chapman","WR","","690.0","","","","","","","","","690.0"
"Aidan Robbins","RB","","690.3","","","","","","","","","690.3"
"Taulia Tagovailoa","QB","","690.4","","","","","","","","","690.4"
"Jerreth Sterns","WR","","691.0","","","","","","","","","691.0"
"Roman Hemby","RB","LV","691.0","","","","","","","","","691.0"
"Connor Wedington","WR","","691.3","","","","","","","","","691.3"
"Shane Leatherbury","WR","","691.7","","","","","","","","","691.7"
"Jalen Moss","WR","","692.0","","","","","","","","","692.0"
"Jose Barbon","WR","","692.0","","","","","","","","","692.0"
"Latavius Murray","RB","","692.1","","","","","","","","","692.1"
"Marlon Mack","RB","","693.0","","","","","","","","","693.0"
"Tanner Morgan","QB","","693.0","","","","","","","","","693.0"
"Will Pauling","WR","SF","694.0","","","","","","","","","694.0"
"Sean Mannion","QB","","694.7","","","","","","","","","694.7"
"Lachlan Pitts","TE","","694.8","","","","","","","","","694.8"
"Ryan Nall","RB","","695.0","","","","","","","","","695.0"
"Duece Watts","WR","","695.0","","","","","","","","","695.0"
"Nakia Griffin-Stewart","TE","","695.3","","","","","","","","","695.3"
"Brian Riley","WR","","695.5","","","","","","","","","695.5"
"Blake Jarwin","TE","","696.0","","","","","","","","","696.0"
"Trent Pennix","TE","","696.0","","","","","","","","","696.0"
"J.T. Barrett","QB","","696.6","","","","","","","","","696.6"
"Floyd Allen","WR","","697.0","","","","","","","","","697.0"
"Kai Locksley","WR","","699.0","","","","","","","","","699.0"
"CJ Marable","RB","","699.5","","","","","","","","","699.5"
"Lamar Miller","RB","","699.5","","","","","","","","","699.5"
"AJ Henning","WR","MIA","699.7","","","","","","","","","699.7"
"Kirk Merritt","WR","","700.0","","","","","","","","","700.0"
"Josh Hammond","WR","","700.0","","","","","","","","","700.0"
"Zach Terrell","QB","BAL","700.0","","","","","","","","","700.0"
